id,precio_usd
254099,133740.0
53461,274625.0
247984,72718.0
209067,49080.0
185997,60684.0
126147,83260.0
139233,63013.0
5013,224896.0
44962,23760.0
134537,297519.0
51180,37912.0
103293,515815.0
47890,117606.0
130216,195389.0
181436,387181.0
201923,248634.0
283945,190333.0
73348,248565.0
40421,41272.0
87655,100929.0
90071,38311.0
224513,125280.0
129818,102299.0
146699,229834.0
235958,297095.0
97918,40970.0
70294,23877.0
177031,806319.0
144635,177232.0
146158,556538.0
257302,39605.0
118889,114286.0
261416,251222.0
162157,198390.0
173573,380539.0
294582,73881.0
261703,180073.0
1127,61512.0
223547,70917.0
127666,62853.0
82384,37934.0
212847,28440.0
202245,235087.0
224685,111286.0
92610,93226.0
274931,195385.0
141129,52075.0
282782,30333.0
157857,104947.0
142454,76870.0
134758,99895.0
116928,44619.0
244353,163211.0
198249,48859.0
232207,48732.0
237577,292565.0
218245,894061.0
241431,92421.0
215118,52824.0
60762,83186.0
196970,283532.0
286113,441756.0
263775,248644.0
61297,93895.0
171944,182463.0
32302,59912.0
119008,33148.0
190533,126758.0
182136,89187.0
16702,281316.0
204516,518517.0
84768,20620.0
137214,266996.0
60035,568201.0
16952,179856.0
167250,265099.0
160587,50166.0
9271,84342.0
25824,277759.0
197102,35823.0
207641,114667.0
200567,218293.0
18684,76490.0
267991,122504.0
84676,45623.0
231950,40678.0
187330,132457.0
166800,43848.0
6907,154818.0
10005,292279.0
250047,76689.0
249523,172813.0
72712,299076.0
58873,242039.0
229855,268470.0
257588,182510.0
11713,33714.0
195709,134959.0
299439,132960.0
273416,157615.0
216134,152965.0
10414,318967.0
127848,79284.0
120733,189774.0
116312,105122.0
270980,49802.0
114276,45926.0
227278,250317.0
69827,84138.0
183957,227674.0
139467,98236.0
126416,51746.0
11840,184965.0
203992,172797.0
48369,18191.0
110067,117082.0
49646,88125.0
33712,40581.0
81195,157526.0
158350,64851.0
68608,67438.0
258878,151144.0
70673,118560.0
277149,40147.0
70366,111770.0
86982,50637.0
14801,55774.0
68238,598131.0
72658,417254.0
188842,214569.0
105483,91615.0
33771,23727.0
49616,45211.0
18511,53585.0
233065,30187.0
252254,524416.0
247425,290576.0
14228,108851.0
246928,118455.0
99673,181539.0
193815,58369.0
160687,172175.0
285383,127267.0
187385,34255.0
212041,167326.0
164883,50601.0
125412,41801.0
197913,286734.0
232596,151377.0
250273,61734.0
46540,224133.0
37970,25342.0
86207,53232.0
223353,112923.0
5810,55446.0
45125,265206.0
157324,425532.0
83719,37534.0
1416,102946.0
246070,332036.0
145820,186074.0
58909,56601.0
100792,166754.0
33827,50161.0
100861,209455.0
95548,200703.0
4822,189650.0
93871,286420.0
131687,134799.0
213734,31828.0
