id,cotizacion_dolar
270716,13.91
216691,13.91
120625,13.91
147802,13.91
299053,13.91
137163,13.91
235852,13.91
76165,13.91
130326,13.91
248088,13.91
87022,13.91
202496,13.91
73661,13.91
103324,13.91
170771,13.91
221743,13.91
89720,13.91
298036,13.91
58806,13.91
145694,13.91
116554,13.91
9702,13.91
7128,13.91
271965,13.91
131270,13.91
165218,13.91
199093,13.91
262258,13.91
286092,13.91
47619,13.91
154576,13.91
148743,13.91
183104,13.91
238670,13.91
193363,13.91
190739,13.91
265552,13.91
91153,13.91
225776,13.91
149797,13.91
229868,13.91
190459,13.91
284707,13.91
51000,13.91
42625,13.91
162770,13.91
25628,13.91
268913,13.91
209383,13.91
135843,13.91
278470,13.91
109299,13.91
244389,13.91
146462,13.91
175446,13.91
71269,13.91
91990,13.91
215478,13.91
162974,13.91
283130,13.91
37820,13.91
23940,13.91
114702,13.91
201170,13.91
92060,13.91
93262,13.91
287270,13.91
814,13.91
273370,13.91
4369,13.91
182643,13.91
103088,13.91
201239,13.91
39298,13.91
36674,13.91
112433,13.91
246979,13.91
2034,13.91
294307,13.91
220447,13.91
18265,13.91
296957,13.91
271195,13.91
88581,13.91
2996,13.91
71696,13.91
163528,13.91
277278,13.91
104047,13.91
204084,13.91
76129,13.91
106878,13.91
137268,13.91
264939,13.91
102665,13.91
41991,13.91
143708,13.91
164690,13.91
203226,13.91
44248,13.91
116731,13.91
3878,13.91
140129,13.91
223832,13.91
52539,13.91
43968,13.91
179180,13.91
229876,13.91
58556,13.91
74886,13.91
65654,13.91
178579,13.91
219348,13.91
211038,13.91
77875,13.91
194846,13.91
180308,13.91
287127,13.91
92063,13.91
120764,13.91
98679,13.91
135205,13.91
76071,13.91
124827,13.91
240360,13.91
75682,13.91
20168,13.91
189508,13.91
55820,13.91
206224,13.91
184640,13.91
270387,13.91
210865,13.91
163301,13.91
68460,13.91
122352,13.91
131148,13.91
150193,13.91
130078,13.91
52635,13.91
186098,13.91
181561,13.91
28803,13.91
64658,13.6515
249528,13.6515
211737,13.6515
108072,13.6515
85864,13.6515
85255,13.6515
269344,13.6515
255916,13.6515
155526,13.6515
281480,13.6515
192134,13.6515
187466,13.6515
115928,13.6515
230816,13.6515
24846,13.6515
194847,13.6515
136254,13.6515
129476,13.6515
75226,13.6515
133298,13.6515
85290,13.6515
189649,13.6515
186136,13.6515
83743,13.6515
271531,13.6515
64113,13.6515
136208,13.6515
192293,13.6515
267448,13.6515
105030,13.6515
298023,13.6515
170323,13.6515
53296,13.6515
264325,13.6515
179089,13.6515
54676,13.6515
185256,13.6515
3427,13.6515
269925,13.6515
286759,13.6515
60456,13.6515
163531,13.6515
69928,13.6515
164970,13.6515
178159,13.6515
26135,13.6515
84055,13.6515
107555,13.6515
136375,13.6515
53078,13.6515
171499,13.6515
75773,13.6515
32928,13.6515
106044,13.6515
106855,13.6515
32921,13.6515
270696,13.6515
253073,13.6515
106932,13.6515
12534,13.6515
251857,13.6515
251560,13.6515
84689,13.6515
38584,13.6515
169859,13.6515
153184,13.6515
131048,13.6515
215913,13.6515
213050,13.6515
262965,13.6515
189096,13.6515
298767,13.6515
202480,13.6515
173024,13.6515
181905,13.6515
57633,13.6515
107174,13.6515
49345,13.6515
194677,13.6515
154009,13.6515
26674,13.6515
135603,13.6515
79764,13.6515
120154,13.6515
38454,13.6515
13352,13.6515
126296,13.6515
208926,13.6515
139603,13.6515
228211,13.6515
230327,13.6515
64547,13.6515
184577,13.6515
76744,13.6515
166095,13.6515
275356,13.6515
207480,13.6515
188409,13.6515
202610,13.6515
25886,13.6515
27109,13.6515
89966,13.6515
218846,13.6515
151489,13.6515
112463,13.6515
264938,13.6515
139676,13.6515
37156,13.6515
203311,13.6515
25268,13.6515
22008,13.6515
106675,13.6515
17046,13.6515
199243,13.6515
257790,13.6515
276858,13.6515
140982,13.6515
43664,13.6515
232206,13.6515
113193,13.6515
18344,13.6515
51516,13.6515
443,13.6515
35158,13.6515
119693,13.6515
2221,13.6515
217418,13.6515
286301,13.6515
230804,13.6515
190984,13.6515
104139,13.6515
237528,13.6515
164434,13.6515
209137,13.6515
246183,13.6515
179352,13.6515
234936,13.6515
52736,13.668
80565,13.668
48282,13.668
145446,13.668
296330,13.668
258135,13.668
215784,13.668
250332,13.668
137027,13.668
1878,13.668
220791,13.668
70888,13.668
276908,13.668
284917,13.668
83997,13.668
103724,13.668
172344,13.668
36925,13.668
177603,13.668
8591,13.668
81817,13.668
109736,13.668
252517,13.668
84347,13.668
50655,13.668
57080,13.668
261673,13.668
86463,13.668
82449,13.668
270587,13.668
41772,13.668
11432,13.668
101336,13.668
67196,13.668
47493,13.668
11495,13.668
279450,13.668
50403,13.668
110564,13.668
71446,13.668
74531,13.668
289114,13.668
55014,13.668
279374,13.668
288153,13.668
110282,13.668
163024,13.668
196300,13.668
83576,13.668
121327,13.668
66446,13.668
205232,13.668
89386,13.758
163287,13.758
225294,13.758
18272,13.758
281148,13.758
57680,13.758
78788,13.758
294405,13.758
67094,13.758
138816,13.758
72013,13.758
58357,13.758
141766,13.758
138529,13.758
269899,13.758
262458,13.758
12610,13.758
81859,13.758
175250,13.758
161190,13.758
153841,13.758
92098,13.758
225532,13.758
212380,13.758
186293,13.758
85265,13.758
206308,13.758
194262,13.758
95698,13.758
126218,13.758
33340,13.758
156950,13.721
197515,13.721
7384,13.721
203948,13.721
53802,13.721
150194,13.721
111200,13.721
63395,13.721
132088,13.721
81070,13.721
31987,13.721
97582,13.721
257028,13.721
244848,13.721
203621,13.721
289835,13.721
63422,13.721
206668,13.721
111773,13.721
122253,13.721
64040,13.721
287483,13.721
127269,13.721
222132,13.721
191244,13.721
192477,13.721
103651,13.721
175907,13.721
291046,13.721
129471,13.721
246992,13.721
250495,13.721
167466,13.721
172905,13.721
249569,13.6921
153182,13.6921
138092,13.6921
246202,13.6921
247451,13.6921
8688,13.6921
3790,13.6921
80133,13.6921
85374,13.6921
27793,13.6921
240036,13.6921
167550,13.6921
186064,13.6921
129385,13.6921
213938,13.6921
40418,13.6921
189609,13.6921
218948,13.6921
175801,13.6921
279224,13.6921
31185,13.6921
285459,13.6921
215329,13.6921
178296,13.6921
164957,13.6921
69541,13.6921
188926,13.6921
245761,13.6921
227662,13.6921
294513,13.6921
268737,13.6921
112605,13.6921
160479,13.6921
1792,13.6921
44629,13.6921
163891,13.6921
168306,13.6921
127137,13.6921
130945,13.6921
236701,13.6921
135717,13.6921
231790,13.6921
288931,13.6921
175199,13.6921
231570,13.6921
277746,13.6921
148683,13.6921
233675,13.6921
98294,13.6921
279412,13.6921
71343,13.6921
269878,13.6921
85447,13.6921
254785,13.6921
45829,13.6921
29208,13.6921
91090,13.6921
190083,13.6921
58378,13.6921
60122,13.6921
233173,13.6921
247532,13.6921
187880,13.6921
61212,13.6921
104327,13.6921
19002,13.6921
136308,13.6921
70819,13.6921
261452,13.6921
145705,13.6921
107313,13.6921
55422,13.6921
79992,13.6921
172751,13.6921
175944,13.6921
248814,13.6921
298162,13.6921
247354,13.6921
2704,13.6921
295337,13.6921
95422,13.6921
144813,13.6921
204483,13.6921
28252,13.6921
134232,13.6921
128515,13.6921
61280,13.6921
254425,13.6921
123049,13.6921
218381,13.6921
271405,13.6921
29677,13.6921
116714,13.6921
64195,13.6921
81784,13.6921
252022,13.6921
255157,13.6921
26154,13.6921
147329,13.6921
5853,13.6921
234362,13.6921
5318,13.6921
263539,13.6921
30837,13.6921
44782,13.6921
164838,13.6921
112701,13.6921
45913,13.6921
136998,13.6921
132468,13.6445
196385,13.6445
73027,13.6445
188597,13.6445
122631,13.6445
233198,13.6445
200324,13.6445
47221,13.6445
220371,13.6445
72867,13.6445
94673,13.6445
28050,13.6445
45971,13.6445
175281,13.6445
226964,13.6445
259346,13.6445
85858,13.6445
41903,13.6445
255502,13.6445
146445,13.6445
240521,13.6445
136508,13.6445
203728,13.6445
290822,13.6445
32911,13.6445
189862,13.6445
97741,13.6445
128618,13.6445
126184,13.6445
196249,13.6445
285811,13.6445
52186,13.6445
175845,13.6445
60304,13.6445
7349,13.6445
287920,13.6445
93997,13.6445
231363,13.6445
67685,13.6445
4323,13.6445
74795,13.6445
293935,13.6445
199310,13.6445
279801,13.6445
10067,13.6445
204390,13.6445
265955,13.6445
257808,13.6445
18070,13.6445
27008,13.6103
10254,13.6103
29167,13.6103
179735,13.6103
136026,13.6103
258713,13.6103
22968,13.6103
105738,13.6103
145776,13.6103
239333,13.6103
296071,13.6103
183409,13.6103
214882,13.6103
191985,13.6103
224277,13.6103
156005,13.6103
287210,13.6103
149772,13.6103
294435,13.6103
3947,13.6103
107991,13.6103
41687,13.6103
262679,13.6103
250379,13.6103
19014,13.6103
233196,13.6103
80647,13.6103
150490,13.6103
145756,13.6103
121641,13.6103
189888,13.6103
241837,13.6103
157039,13.6103
105398,13.6103
9493,13.6103
134128,13.6103
188217,13.6103
37808,13.6103
136187,13.6103
129074,13.6103
151513,13.6103
171945,13.6103
81005,13.6103
249855,13.6103
168026,13.6103
136468,13.6103
220257,13.6103
6822,13.6103
259805,13.6103
174546,13.6103
158064,13.6103
170163,13.6103
252684,13.6103
127253,13.6103
155388,13.6103
137322,13.6103
158817,13.6103
118059,13.6103
66769,13.6103
43431,13.6103
214976,13.6103
240639,13.6103
37287,13.6103
119287,13.6103
34720,13.6103
234111,13.6103
224504,13.6103
21278,13.6103
98792,13.6103
121301,13.6103
20080,13.6103
163828,13.6103
112720,13.6103
129241,13.6103
299120,13.6103
71318,13.6103
169537,13.6103
121585,13.6103
65406,13.6103
51302,13.6103
222759,13.6103
128088,13.6103
82441,13.6103
238070,13.6103
190421,13.6103
155906,13.6103
284682,13.6103
211499,13.6103
178739,13.6103
217337,13.6103
295439,13.6103
181439,13.6103
287627,13.6103
183398,13.6103
104357,13.6103
177310,13.6103
163617,13.6103
9072,13.6103
246071,13.6103
104704,13.6103
12715,13.6103
18151,13.6103
92207,13.6103
32098,13.6103
286792,13.6103
29432,13.6103
224627,13.6103
76904,13.6103
53073,13.6103
30529,13.6103
11891,13.6103
264096,13.6103
201564,13.6103
248542,13.6103
97838,13.6103
156754,13.6103
205382,13.6103
21248,13.6103
180642,13.6103
21583,13.6103
157706,13.6103
180591,13.6103
111445,13.6103
13406,13.6103
251039,13.6103
15111,13.6103
91151,13.6103
247428,13.6103
146980,13.6103
292049,13.6103
95112,13.6103
51518,13.6103
158766,13.6103
105558,13.6103
74776,13.6103
97768,13.6103
135738,13.6103
179530,13.6103
197294,13.6103
23872,13.6103
198726,13.6103
206779,13.6103
148473,13.6103
144479,13.6103
42148,13.6103
67136,13.6103
8040,13.6103
27578,13.6103
271963,13.6103
17487,13.6103
95491,13.6103
292249,13.6103
63807,13.6103
138568,13.6103
6140,13.6103
77895,13.6103
60390,13.6103
141118,13.6103
219280,13.6103
