id,metroscubiertos
40421,156.57001630068004
90071,101.80955836238651
177031,327.6911551890588
294582,64.65832653737225
241431,256.7376439199643
16952,302.0702027407048
84676,93.32161605099033
86982,168.795898675526
187385,208.8802977942923
157324,279.30599899963784
33827,183.6741087476292
193555,287.94384799068115
225438,194.66145261734894
233685,286.4929724216732
63068,317.38817728734523
237547,162.49906984644954
179128,323.904304203531
268772,319.64212808389976
245705,174.2574238879257
60426,165.1433635966472
192103,330.03353834886184
133728,72.72171966074119
194182,247.9095237233061
774,352.52486761964093
169196,91.74062379564296
55713,326.48617611175206
33145,292.0352477509367
184641,304.4826836895613
279183,154.89152483213698
163648,398.6898681603569
225367,382.21331446371477
141480,254.08980347416508
98472,156.51817599647035
142168,322.5938857618908
245018,338.0978101406638
138251,240.0802789728973
269465,118.0922252984002
94104,162.93324045047737
62474,241.53356719723448
156913,368.96473134293865
140976,204.8025005562092
285797,314.6306621803962
182806,195.7779136860214
187713,383.28780862063
236393,374.02740369066254
142112,196.2151115530186
6999,341.6099858280571
192725,211.13361679266586
211124,159.2123857578177
55899,245.47068787909117
94795,155.21637543536983
184007,301.90849942026654
28838,276.52955935798497
132194,230.560362568179
277254,149.39809176486241
181659,216.52634489942466
232812,75.41056857165984
72817,86.63492202221828
160918,309.4941196411606
94311,260.5497652314149
130586,115.60854395235808
216570,245.88275037360916
280003,271.98441916368125
282110,205.04331961079288
295832,296.3957228667124
30360,172.01298437299556
237192,99.30485330365883
53249,255.04977909316435
237564,180.937065968981
125307,341.73716531751535
118017,186.9679512221724
186850,248.93976702398973
198633,126.15922903843129
53862,47.76900435278152
71806,356.9894633798191
65034,279.76699589855673
119260,250.4236180383062
53212,146.34473031241612
24159,310.15234874665583
15615,321.7699329677476
158491,304.56538898768963
246302,276.17084955183407
293731,162.01997682678035
36461,72.61451590344014
33552,339.56786078705784
190381,138.57124173766974
29753,244.06433086239429
125576,137.43000091092307
50354,264.58811851006925
234418,111.93955577912885
173555,232.56368524646226
232889,316.60693449553554
43656,303.13291659296385
232743,339.12433692551207
247213,360.9801182764375
7092,53.237288615570804
65576,368.3413522959607
144053,355.1660764541429
130796,162.7632784652619
89198,309.06364310498486
154414,296.3827185295504
85372,296.4618419557367
33402,351.20381877407397
176462,317.371059487386
72337,201.69088084765914
263001,321.21701953981676
73892,364.1412124428178
246559,242.1326380185367
99865,160.73028194462432
133096,199.13743197390852
256090,167.59662147744754
217571,139.37490493959442
285422,233.56294265418532
206532,301.6155519474752
