id,habitaciones
134537,5.25396377363152
130216,4.440537915189628
181436,3.3011995994602494
40421,2.8068498000304722
90071,2.0554929461998963
146158,3.2166731000201616
241431,2.602885581857186
207641,2.2568762289156075
10005,3.384661605619655
33712,3.1072355372146845
86982,4.235049512296717
285383,1.914179010584975
5810,2.5266943898270524
157324,4.038894001974554
58909,2.795649573293112
33827,4.216227051931486
134380,2.8693638174573097
128421,1.9372193041357904
149879,3.6391907003355124
237547,3.07404255419483
100528,1.8389511778584322
4378,2.1700431798054707
16325,4.018345258499446
245705,3.866944035754859
23066,3.4000860572575227
194182,3.4848043378036695
36316,2.5105721760860473
172742,2.853624234488924
153577,1.7316683787194862
19526,2.084309061268364
225044,2.07815736457883
188630,1.9644717016793303
22276,3.2959637246054436
115356,1.84855239799699
19319,1.5097673447154574
261333,2.7221056550729217
297052,3.5984781792345846
297301,4.166390962043816
139589,1.5097773927621263
55713,7.89615687726773
33145,2.8790292875368224
184641,2.796096245235135
279183,5.288372261750403
201732,3.5692571910305255
40790,1.6811550721744386
224663,3.387955946239577
141480,4.429751926890187
98472,4.117637562332976
186396,2.7695535537785307
138251,3.7625855127474033
94104,3.197919739304519
99617,4.352392499438498
62474,4.336824715506911
203064,5.845539383923881
86185,3.8661622569552776
32625,3.336045123795975
34631,3.056330164048414
172375,2.039901302693217
140976,3.473991202930315
33917,1.8572586822824764
182806,3.4629877667956968
243920,3.583338480234946
195765,2.718228594895553
142112,4.3837525787655025
176676,3.8995324426756683
149251,1.932982152229624
298725,4.316752653738955
192725,4.322788334543135
187406,2.2480374320752916
287048,2.8298230611319335
206744,2.4515383050616033
265843,2.1392841993022285
266916,3.049510382009294
94795,3.2971978071128607
184007,2.9968587238084297
32415,3.0649307531343535
28838,3.697400418160485
36427,4.219174164132997
277254,3.5361322587778057
65278,2.3923749371821272
157954,2.8775024131493163
205357,3.10826548314114
53593,5.036424903543807
181659,4.393975252949398
5241,3.3769729401080255
160918,5.235552565427413
153007,5.901972495555473
130586,4.102072339846417
216570,3.873983901349729
280003,2.3524892125853984
282110,3.7663220136928017
252947,2.1294962869194975
19950,2.7125517592818875
184994,4.432672184602779
30360,3.7108381390866048
237192,2.5603076122514
176674,1.4510147914498572
186850,4.080275212326897
57195,6.0568677522393815
226555,2.9473323259228152
53862,2.3006828876285876
65034,3.1192649399661243
119260,3.8815498350488937
53212,3.8255881588238916
246302,2.7491991711670014
293731,5.596029192307038
120968,3.443518518508927
81542,3.3779038437410263
36461,2.850251204131741
159394,3.1489995017618284
190381,5.655184431838411
91033,5.061049990075646
151624,2.5693652183906925
31086,6.325906870234345
179835,2.1566730994562566
216615,3.147616028367142
50354,3.7932604348392833
283864,1.6595891098545037
140203,2.6953203080660675
62418,3.8949451272485147
234130,4.075639388342339
173555,3.9712663926969034
263555,1.540214598963518
43656,4.257746277948882
143198,2.4643449648539106
232743,4.7813928436500985
7092,6.08824988779112
57968,3.2562737453944095
231254,3.2613048573527097
176425,5.001829908413141
130796,4.1366329126539965
165004,4.280486921385097
154494,2.034469096841708
243541,1.4515336072389213
229137,1.2636794765458235
270325,1.589391497067078
239414,2.776594347997104
53521,3.308688781939858
176462,7.031388913783985
209975,1.6904869710242825
246559,3.132081668235353
2146,2.4235242457126005
150173,1.7897072402442993
133096,3.5403556538103724
285422,4.187419836278615
88224,1.8336108494292782
15139,3.373861124345603
80905,3.9891137165143995
277626,4.284454934169058
189505,3.820644525823527
119146,1.8793788051512257
2519,4.38106677317591
287939,1.210448369650223
79990,5.131482280292233
75721,7.442844549207647
110937,3.6272118214276174
112697,2.135493188301694
200971,3.0841713493153615
267845,3.0875670029940614
174176,3.784055116880302
270033,2.291612076886253
57228,6.6841003094011775
204871,2.851714722028033
278468,1.9788417438766506
134544,3.5213012650726716
199380,3.332949984730259
227905,7.932735113446772
257544,1.9269020368986518
287686,1.8153984301328483
296498,3.3366965866712315
95900,2.94753007683454
159343,2.1650610992698347
106953,3.614659522886178
270006,2.710281422836112
188507,2.902338448416008
90499,2.8345085504505874
163389,4.7374745720401865
185237,4.0304527971316455
82204,2.624903793547013
131014,4.092810090383556
244847,5.400357830091109
156198,3.264210784430269
275539,3.5440016379444743
286143,4.568535879856139
88761,3.5261540782422105
115021,2.4284362048475034
120133,3.21829871045087
61810,4.417322215313479
182699,5.541961659688876
274390,3.8333593484072876
193464,3.481531900459736
235522,3.3822356655861654
